1,4,964982703
1,4,964982703
3,4,964981247
6,4,964982224
47,5,964983815
50,5,964982931
70,3,964982400
101,5,964980868
110,4,964982176
151,5,964984041
157,5,964984100
163,5,964983650
216,5,964981208
223,3,964980985
231,5,964981179
235,4,964980908
260,5,964981680
296,3,964982967
316,3,964982310
333,5,964981179
349,4,964982563
356,4,964980962
362,5,964982588
367,4,964981710
423,3,964982363
441,4,964980868
457,5,964981909
480,4,964982346
500,3,964981208
527,5,964984002
543,4,964981179
552,4,964982653
553,5,964984153
590,4,964982546
592,4,964982271
593,4,964983793
596,5,964982838
608,5,964982931
648,3,964982563
661,5,964982838
673,3,964981775
733,4,964982400
736,3,964982653
780,3,964984086
804,4,964980499
919,5,964982475
923,5,964981529
940,5,964982176
943,4,964983614
954,5,964983219
1009,3,964981775
1023,5,964982681
1024,5,964982876
1025,5,964982791
1029,5,964982855
1030,3,964982903
1031,5,964982653
1032,5,964982791
1042,4,964981179
1049,5,964982400
1060,4,964980924
1073,5,964981680
1080,5,964981327
1089,5,964982951
1090,4,964984018
1092,5,964983484
1097,5,964981680
1127,4,964982513
1136,5,964981327
1196,5,964981827
1197,5,964981872
1198,5,964981827
1206,5,964983737
1208,4,964983250
1210,5,964980499
1213,5,964982951
1214,4,964981855
1219,2,964983393
1220,5,964981909
1222,5,964981909
1224,5,964984018
1226,5,964983618
1240,5,964983723
1256,5,964981442
1258,3,964983414
1265,4,964983599
1270,5,964983705
1275,5,964982290
1278,5,964983414
1282,5,964982703
1291,5,964981909
1298,5,964984086
1348,4,964983393
1377,3,964982653
1396,3,964983017
1408,3,964982310
1445,3,964984112
1473,4,964980875
1500,4,964980985
1517,5,964981107
1552,4,964982620
1573,5,964982290
1580,3,964981125
1587,5,964982346
1617,5,964982951
1620,4,964983056
1625,5,964983504
1644,3,964983536
1676,3,964982620
1732,5,964981125
1777,4,964981230
1793,4,964981404
1804,5,964983034
1805,4,964983056
1920,4,964981780
1927,5,964981497
1954,5,964982176
1967,4,964981710
2000,4,964982211
2005,5,964981710
2012,4,964984176
2018,5,964980523
2028,4,964981888
2033,5,964982903
2046,4,964982563
2048,5,964982791
2054,4,964981747
2058,5,964982400
2078,5,964982838
2090,5,964982838
2093,3,964981710
2094,5,964982653
2096,4,964982838
2099,4,964982588
2105,4,964981725
2115,5,964982529
2116,5,964982876
2137,5,964982791
2139,5,964982791
2141,5,964982838
2143,4,964981725
2161,5,964981710
2174,4,964981680
2193,4,964981710
2253,2,964981775
2268,4,964982989
2273,4,964982310
2291,5,964983664
2329,5,964983263
2338,2,964983546
2353,5,964983861
2366,4,964982462
2387,5,964983123
2389,2,964983094
2395,5,964981093
2406,4,964982310
2414,3,964982513
2427,5,964982242
2450,4,964982620
2459,5,964983414
2470,5,964982588
2478,4,964984169
2492,4,965719662
2502,5,964981278
2528,3,964982328
2529,5,964982242
2542,5,964981265
2571,5,964981888
2580,5,964983000
2596,5,964981144
2616,4,964983080
2617,2,964982588
2628,4,964980523
2640,4,964982377
2641,5,964982620
2644,4,964983393
2648,4,964983414
2654,5,964983393
2657,3,964983426
2692,5,964981855
2700,5,964980985
2716,5,964983414
2761,5,964982703
2797,4,964981710
2826,4,964980523
2858,5,964980868
2872,5,964981680
2899,5,964982703
2916,4,964982290
2944,5,964981872
2947,5,964982176
2948,5,964982191
2949,5,964981888
2959,5,964983282
2985,4,964983034
2987,5,964982495
2991,5,964982271
2993,5,964982242
2997,4,964980896
3033,5,964983762
3034,5,964982791
3052,5,964981208
3053,5,964984086
3062,4,964981872
3147,5,964983873
3168,4,964982495
3176,1,964983504
3243,3,964981093
3247,3,964983108
3253,5,964981107
3273,5,964983536
3386,5,964983484
3439,4,964981799
3440,4,964981799
3441,5,964982328
3448,5,964984054
3450,5,964981144
3479,4,964981725
3489,4,964981775
3527,4,964982271
3578,5,964980668
3617,4,964980683
3639,4,964982271
3671,5,964981589
3702,5,964983737
3703,5,964981909
3729,5,964982363
3740,4,964982417
3744,4,964980694
3793,5,964981855
3809,4,964981220
4006,4,964982903
5060,5,964984002
318,3,1445714835
333,4,1445715029
1704,4.5,1445715228
3578,4,1445714885
6874,4,1445714952
8798,3.5,1445714960
46970,4,1445715013
48516,4,1445715064
58559,4.5,1445715141
60756,5,1445714980
68157,4.5,1445715154
71535,3,1445714974
74458,4,1445714926
77455,3,1445714941
79132,4,1445714841
80489,4.5,1445715340
80906,5,1445715172
86345,4,1445715166
89774,5,1445715189
91529,3.5,1445714891
91658,2.5,1445714938
99114,3.5,1445714874
106782,5,1445714966
109487,3,1445715145
112552,4,1445714882
114060,2,1445715276
115713,3.5,1445714854
122882,5,1445715272
131724,5,1445714851
31,0.5,1306463578
527,0.5,1306464275
647,0.5,1306463619
688,0.5,1306464228
720,0.5,1306463595
849,5,1306463611
914,0.5,1306463567
1093,0.5,1306463627
1124,0.5,1306464216
1263,0.5,1306463569
1272,0.5,1306463624
1275,3.5,1306463323
1302,0.5,1306464189
1371,3,1306463561
1587,4.5,1306464003
2018,0.5,1306464175
2080,0.5,1306463572
2090,0.5,1306464261
2105,2,1306463559
2288,4,1306463631
2424,0.5,1306464293
2851,5,1306463925
3024,4.5,1306464054
3210,0.5,1306463638
